0	lang	ans	lat	long		lat	long	uv
87	Siriono	no	-15.81977	-64.90867		-15.5		
88	Slavey	yes	63.48759	-129.957		63.5		
89	Sursurunga	no	-4.02156	152.76709		-4.5		
90	Tabla	no	-2.5916	140.66899		-2.5		
91	Tacana	no	-13.09112	-68.503		-13.5		
92	Tarahumara-Cent	no	27.69039	-107.24542		27.5		
93	Tarahumara-West	no	28.34853	-106.01682		28.5		
94	Tboli	no	6.20836	124.61069		6.5		
95	Teribe	yes	9.3481	-82.70122		9.5		
96	Ticuna	no	-3.46266	-68.9507		-3.5		
97	Tifal	no	-4.83605	141.37616		-4.5		
98	Tlapanec	no	17.45456	-99.62649		17.5		
99	Tucano	no	0.64324	-69.04709		0.5		
100	Vagla	yes	9.27324	-2.41346		9.5		
101	Vasavi	no	21.41635	73.90402		21.5		
102	Waorani	no	-1.01275	-76.68258		-1.5		
103	Warlpiri	no	-19.91153	130.98559		-19.5		
104	Wobe	no	7.40426	-7.25943		7.5		
105	Yacouba	no	7.2676	-8.14478		7.5		
106	Yakan	yes	6.55921	122.07281		6.5		
107	Yaminahua	no	-9.70103	-72.53807		-9.5		
108	Yucuna	no	-0.89171	-70.67078		-0.5		
109	Yupik	no	60.89361	-161.92522		60.5		
110	Zapotec	no	17.41638	-96.73631		17.5		
